order_id,customer_id,order_timestamp,amount
2940,8900,2025-12-16T23:47:49,550.24
6066,2961,2024-08-08T07:36:14,1920.94
3291,3275,2025-11-20T16:58:14,56.23
1794,5308,2024-06-20T08:08:27,163.02
9592,6975,2024-07-10T18:48:20,1903.95
9627,5755,2025-06-08T09:26:28,980.28
3469,4050,2025-11-22T10:27:40,807.13
8562,5120,2025-11-04T08:48:46,1790.95
2392,9686,2025-06-01T04:26:35,1684.61
9431,1952,2024-01-02T14:25:56,1294.02
3062,9327,2025-10-23T09:09:34,1936.93
5433,8392,2025-03-05T05:41:27,437.03
2809,5382,2025-08-21T03:36:33,1793.15
5892,3442,2024-01-03T14:50:13,1917.45
3165,4541,2025-02-17T10:46:08,886.91
2609,6954,2024-11-12T03:09:27,1344.99
3146,2986,2024-11-15T10:46:49,1990.66
6864,3318,2025-03-24T22:17:17,257.03
9198,5447,2024-09-08T15:27:15,428.94
6935,2365,2024-03-18T11:05:58,1993.58
7320,9735,2024-06-18T17:37:30,1286.88
5416,7602,2024-10-04T16:32:57,26.08
9128,7641,2024-02-05T05:08:55,1263.57
1292,3201,2024-06-26T01:26:03,604.46
5621,5020,2024-02-09T21:09:48,1895.71
6338,7913,2024-09-20T17:24:48,1929.25
5981,5786,2025-08-07T12:09:48,525.3
8825,2267,2025-10-16T02:08:03,519.09
176,3881,2024-06-18T23:29:40,1609.2
5577,5180,2025-02-11T23:26:30,908.94
1596,8989,2025-08-14T10:52:26,467.34
7871,3360,2024-01-12T23:00:58,687.93
6079,8393,2024-07-05T12:34:42,553.66
9734,9810,2025-03-03T10:16:42,1935.07
2394,6021,2024-04-12T11:48:19,347.62
3689,9151,2025-03-16T07:47:52,199.33
3621,9724,2025-01-17T14:45:20,1074.74
2447,5009,2025-01-17T01:25:44,61.74
4381,2687,2024-04-28T09:20:54,1462.66
1928,1735,2024-12-08T02:50:00,1848.81
2269,9856,2024-02-18T22:16:03,1288.6
1051,2559,2024-03-11T20:04:33,7.17
3256,7929,2024-05-26T15:55:13,335.82
4278,5786,2025-11-10T15:54:38,1337.61
1990,8197,2025-12-21T02:27:22,1734.92
3615,3979,2024-04-09T01:26:19,1536.23
4521,8377,2025-09-15T06:09:46,1006.61
8956,5596,2025-03-04T21:33:11,1620.79
5956,3071,2025-09-12T13:22:30,484.76
7887,2489,2025-10-15T16:26:34,345.61
5826,1667,2024-11-09T12:34:38,627.22
6040,1615,2024-09-21T00:44:09,582.94
5542,2567,2024-04-06T18:01:40,496.15
1432,6542,2025-06-04T06:48:13,1040.6
2865,8443,2024-10-07T14:30:53,200.49
2455,3219,2024-12-24T02:28:56,717.98
1435,7305,2025-05-30T12:27:47,301.57
5034,6248,2024-08-07T11:19:45,275.27
164,4501,2024-12-09T10:27:21,1024.79
8772,4061,2025-10-29T13:36:42,520.28
4357,9594,2025-09-15T19:52:07,976.95
3290,7583,2025-11-07T04:04:11,1451.81
7630,6335,2024-08-12T03:24:13,747.87
6748,2102,2024-02-17T04:59:16,1215.45
9465,2173,2024-04-30T15:13:56,1738.66
464,1502,2025-07-29T12:39:51,188.06
9263,6392,2025-11-26T09:57:00,608.22
4512,9476,2025-06-13T23:44:07,1669.29
6121,5842,2025-02-09T14:44:42,294.64
8678,4222,2025-11-26T11:27:57,164.46
2378,2075,2024-10-12T22:44:09,380.77
9214,1066,2025-08-24T23:20:12,1886.25
7506,4263,2025-02-02T23:49:28,226.23
9841,6735,2025-06-09T18:16:33,700.38
9512,8161,2024-08-21T22:03:44,1738.01
865,8916,2025-06-01T21:12:32,1320.27
9645,2244,2025-03-26T01:49:54,1521.68
4522,8758,2025-08-29T14:57:39,1425.49
7983,7131,2025-07-09T14:43:12,28.0
7633,1100,2024-08-30T18:09:52,980.75
7018,8568,2024-07-17T17:06:03,1966.69
6555,8946,2024-02-08T03:22:05,962.38
4444,3174,2025-07-27T07:22:35,624.42
3154,3236,2024-03-30T01:50:26,657.59
1776,8288,2025-03-02T01:37:30,274.55
8857,8271,2025-06-17T08:59:18,1248.95
3310,4987,2024-07-06T02:43:53,427.22
2398,3634,2025-04-25T12:06:11,1425.07
39,3621,2024-04-28T17:10:07,1585.2
6258,2501,2024-12-08T20:23:45,717.09
4851,8984,2025-09-18T19:21:21,1545.16
6826,4189,2025-08-13T11:19:08,862.64
3828,8992,2024-06-08T20:58:58,869.78
1295,2462,2025-04-14T21:37:42,379.93
5431,6527,2025-08-04T19:20:43,486.55
9671,9494,2025-08-27T19:39:02,288.26
3117,9005,2025-06-19T04:20:54,58.54
7301,9667,2024-05-05T10:48:06,326.4
9927,2237,2024-02-04T16:24:06,1777.89
3355,5981,2025-07-05T03:40:13,917.78
6679,7165,2025-12-15T23:31:16,1997.29
1431,4669,2025-03-23T21:30:59,1955.9
640,3126,2025-03-04T11:26:39,1225.84
1520,1144,2025-03-12T00:02:12,233.87
8332,5127,2025-08-13T16:21:24,1762.22
3033,1691,2024-12-18T20:48:17,994.38
7886,9798,2025-12-23T11:04:55,1164.98
1666,4633,2024-07-23T08:23:25,744.82
8158,8835,2024-04-21T16:56:24,1891.46
5393,4372,2025-09-07T09:07:43,1650.25
8057,1834,2025-04-24T02:42:45,1444.91
1342,3785,2025-10-18T15:45:25,1682.07
6523,5157,2025-04-08T01:13:59,994.87
8315,6886,2025-09-02T04:50:04,1471.81
1803,1362,2025-02-19T12:34:39,375.95
3825,4163,2024-11-06T15:27:43,503.94
663,7825,2025-08-18T17:09:07,1238.13
987,3999,2024-03-31T20:05:08,749.75
9504,1888,2024-04-21T01:36:40,1733.4
8292,6437,2025-10-30T00:40:39,712.48
8718,2978,2025-05-04T19:38:26,1438.14
8705,4277,2025-06-18T19:40:50,1535.95
6416,9502,2025-03-09T15:41:40,489.84
3211,5068,2025-12-13T18:45:39,1603.9
9221,5879,2024-06-01T14:16:01,1567.08
8655,9243,2024-01-17T01:13:26,1816.23
4545,3404,2024-01-30T17:43:42,1220.66
5125,4128,2025-07-07T11:38:16,1138.93
5179,8505,2025-08-05T12:58:08,1320.52
9087,6032,2024-12-03T07:35:04,284.52
9031,3413,2025-06-30T06:28:38,1326.78
1200,4811,2024-02-13T15:02:49,1205.32
2124,8842,2024-09-29T23:19:54,925.18
3173,6523,2024-01-12T07:25:02,1641.95
6591,2376,2024-03-12T01:45:09,1868.63
8762,6896,2025-04-13T17:29:45,867.81
5980,9257,2024-03-30T10:41:32,1292.99
3549,3427,2024-01-31T08:42:10,1884.38
3831,7275,2025-04-16T16:48:41,861.48
9436,9423,2024-02-19T16:51:58,1481.22
1139,3187,2025-01-27T13:51:23,1276.25
8878,3521,2024-03-23T17:30:57,354.37
5865,3390,2024-06-05T13:08:40,417.53
9030,3624,2025-07-02T16:35:41,1204.83
